name	size
WGD2ANC00001	6
WGD2ANC00002	13
WGD2ANC00003	7
WGD2ANC00004	10
WGD2ANC00005	7
WGD2ANC00006	4
WGD2ANC00007	6
WGD2ANC00008	7
WGD2ANC00009	2
WGD2ANC00010	4
WGD2ANC00011	2
WGD2ANC00012	6
WGD2ANC00013	5
WGD2ANC00014	4
WGD2ANC00015	6
WGD2ANC00016	7
WGD2ANC00017	7
WGD2ANC00018	7
WGD2ANC00019	4
WGD2ANC00020	6
WGD2ANC00021	7
WGD2ANC00022	6
WGD2ANC00023	4
WGD2ANC00024	7
WGD2ANC00025	4
WGD2ANC00026	5
WGD2ANC00027	7
WGD2ANC00028	7
WGD2ANC00029	4
WGD2ANC00030	4
WGD2ANC00031	10
WGD2ANC00032	6
WGD2ANC00033	3
WGD2ANC00034	6
WGD2ANC00035	6
WGD2ANC00036	11
WGD2ANC00037	12
WGD2ANC00038	11
WGD2ANC00039	6
WGD2ANC00040	7
WGD2ANC00041	6
WGD2ANC00042	5
WGD2ANC00043	7
WGD2ANC00044	6
WGD2ANC00045	4
WGD2ANC00046	4
WGD2ANC00047	7
WGD2ANC00048	7
WGD2ANC00049	4
WGD2ANC00050	4
WGD2ANC00051	4
WGD2ANC00052	5
WGD2ANC00053	5
WGD2ANC00054	4
WGD2ANC00055	7
WGD2ANC00056	4
WGD2ANC00057	4
WGD2ANC00058	4
WGD2ANC00059	7
WGD2ANC00060	4
WGD2ANC00061	4
WGD2ANC00062	4
WGD2ANC00063	6
WGD2ANC00064	5
WGD2ANC00065	3
WGD2ANC00066	7
WGD2ANC00067	3
WGD2ANC00068	5
WGD2ANC00069	7
WGD2ANC00070	7
WGD2ANC00071	7
WGD2ANC00072	7
WGD2ANC00073	2
WGD2ANC00074	7
WGD2ANC00075	6
WGD2ANC00076	7
WGD2ANC00077	6
WGD2ANC00078	6
WGD2ANC00079	6
WGD2ANC00080	6
WGD2ANC00081	7
WGD2ANC00082	6
WGD2ANC00083	4
WGD2ANC00084	7
WGD2ANC00085	7
WGD2ANC00086	4
WGD2ANC00087	5
WGD2ANC00088	6
WGD2ANC00089	7
WGD2ANC00090	6
WGD2ANC00091	7
WGD2ANC00092	7
WGD2ANC00093	6
WGD2ANC00094	4
WGD2ANC00095	7
WGD2ANC00096	4
WGD2ANC00097	5
WGD2ANC00098	4
WGD2ANC00099	4
WGD2ANC00100	3
WGD2ANC00101	4
WGD2ANC00102	5
WGD2ANC00103	7
WGD2ANC00104	7
WGD2ANC00105	2
WGD2ANC00106	7
WGD2ANC00107	7
WGD2ANC00108	4
WGD2ANC00109	7
WGD2ANC00110	6
WGD2ANC00111	6
WGD2ANC00112	3
WGD2ANC00113	7
WGD2ANC00114	7
WGD2ANC00115	6
WGD2ANC00116	7
WGD2ANC00117	7
WGD2ANC00118	7
WGD2ANC00119	7
WGD2ANC00120	5
WGD2ANC00121	6
WGD2ANC00122	7
WGD2ANC00123	6
WGD2ANC00124	7
WGD2ANC00125	5
WGD2ANC00126	7
WGD2ANC00127	4
WGD2ANC00128	7
WGD2ANC00129	4
WGD2ANC00130	9
WGD2ANC00131	7
WGD2ANC00132	6
WGD2ANC00133	7
WGD2ANC00134	5
WGD2ANC00135	4
WGD2ANC00136	4
WGD2ANC00137	9
WGD2ANC00138	4
WGD2ANC00139	13
WGD2ANC00140	4
WGD2ANC00141	5
WGD2ANC00142	7
WGD2ANC00143	10
WGD2ANC00144	7
WGD2ANC00145	7
WGD2ANC00146	7
WGD2ANC00147	10
WGD2ANC00148	5
WGD2ANC00149	7
WGD2ANC00150	6
WGD2ANC00151	4
WGD2ANC00152	6
WGD2ANC00153	7
WGD2ANC00154	6
WGD2ANC00155	7
WGD2ANC00156	7
WGD2ANC00157	4
WGD2ANC00158	7
WGD2ANC00159	7
WGD2ANC00160	4
WGD2ANC00161	6
WGD2ANC00162	10
WGD2ANC00163	11
WGD2ANC00164	11
WGD2ANC00165	6
WGD2ANC00166	3
WGD2ANC00167	11
WGD2ANC00168	6
WGD2ANC00169	10
WGD2ANC00170	6
WGD2ANC00171	3
WGD2ANC00172	10
WGD2ANC00173	6
WGD2ANC00174	9
WGD2ANC00175	4
WGD2ANC00176	4
WGD2ANC00177	5
WGD2ANC00178	13
WGD2ANC00179	10
WGD2ANC00180	7
WGD2ANC00181	7
WGD2ANC00182	9
WGD2ANC00183	10
WGD2ANC00184	13
WGD2ANC00185	10
WGD2ANC00186	4
WGD2ANC00187	10
WGD2ANC00188	5
WGD2ANC00189	9
WGD2ANC00190	13
WGD2ANC00191	8
WGD2ANC00192	4
WGD2ANC00193	7
WGD2ANC00194	6
WGD2ANC00195	4
WGD2ANC00196	8
WGD2ANC00197	7
WGD2ANC00198	7
WGD2ANC00199	6
WGD2ANC00200	10
WGD2ANC00201	6
WGD2ANC00202	6
WGD2ANC00203	6
WGD2ANC00204	7
WGD2ANC00205	4
WGD2ANC00206	5
WGD2ANC00207	4
WGD2ANC00208	7
WGD2ANC00209	4
WGD2ANC00210	7
WGD2ANC00211	7
WGD2ANC00212	6
WGD2ANC00213	4
WGD2ANC00214	4
WGD2ANC00215	5
WGD2ANC00216	4
WGD2ANC00217	11
WGD2ANC00218	7
WGD2ANC00219	4
WGD2ANC00220	5
WGD2ANC00221	4
WGD2ANC00222	6
WGD2ANC00223	7
WGD2ANC00224	4
WGD2ANC00225	4
WGD2ANC00226	9
