family	distance	size	phyloscore	alignscore
WGD2ANC00001	11	16	1.0	0.996875
WGD2ANC00001	27	6	0.966666666667	0.925
WGD2ANC00004	6	26	1.0	0.988461538462
WGD2ANC00004	32	8	0.99375	1.0
WGD2ANC00007	4	12	0.954166666667	0.966666666667
WGD2ANC00007	30	11	0.977272727273	1.0
WGD2ANC00007	45	7	0.8	0.957142857143
WGD2ANC00008	38	9	1.0	1.0
WGD2ANC00008	48	20	0.9925	0.99
WGD2ANC00014	25	7	0.992857142857	0.978571428571
WGD2ANC00021	12	9	0.977777777778	0.988888888889
WGD2ANC00024	1	31	0.993548387097	1.0
WGD2ANC00027	4	10	0.98	0.955
WGD2ANC00029	13	13	1.0	1.0
WGD2ANC00030	15	8	0.9875	1.0
WGD2ANC00030	24	9	0.916666666667	0.833333333333
WGD2ANC00031	100	11	0.990909090909	0.995454545455
WGD2ANC00037	8	6	0.991666666667	0.8
WGD2ANC00051	47	11	0.981818181818	1.0
WGD2ANC00053	21	7	0.978571428571	0.95
WGD2ANC00055	3	6	1.0	0.816666666667
WGD2ANC00055	16	18	0.977777777778	0.908333333333
WGD2ANC00056	205	11	0.968181818182	1.0
WGD2ANC00059	2	6	0.966666666667	0.983333333333
WGD2ANC00064	7	13	0.907692307692	1.0
WGD2ANC00091	2	9	1.0	0.994444444444
WGD2ANC00091	19	12	1.0	1.0
WGD2ANC00103	2	11	0.986363636364	0.936363636364
WGD2ANC00107	10	8	0.975	1.0
WGD2ANC00111	1	14	0.964285714286	1.0
WGD2ANC00121	4	19	0.997368421053	0.981578947368
WGD2ANC00121	44	9	0.988888888889	0.994444444444
WGD2ANC00137	28	10	0.97	1.0
WGD2ANC00137	62	19	0.986842105263	1.0
WGD2ANC00139	19	6	0.975	1.0
WGD2ANC00143	2	9	1.0	1.0
WGD2ANC00146	19	8	0.95	1.0
WGD2ANC00146	45	11	0.990909090909	1.0
WGD2ANC00148	7	10	0.99	0.995
WGD2ANC00152	43	6	0.966666666667	1.0
WGD2ANC00154	33	7	0.964285714286	0.935714285714
WGD2ANC00156	16	9	0.944444444444	1.0
WGD2ANC00157	1	14	0.992857142857	1.0
WGD2ANC00157	18	9	1.0	0.977777777778
WGD2ANC00157	30	29	0.974137931034	0.963793103448
WGD2ANC00157	72	6	0.983333333333	1.0
WGD2ANC00160	4	12	0.983333333333	1.0
WGD2ANC00169	55	9	0.877777777778	0.838888888889
WGD2ANC00180	3	8	0.9625	0.95
WGD2ANC00180	24	19	0.989473684211	0.989473684211
WGD2ANC00180	120	8	1.0	1.0
WGD2ANC00182	4	7	0.964285714286	1.0
WGD2ANC00185	2	8	0.99375	1.0
WGD2ANC00185	15	15	1.0	1.0
WGD2ANC00191	29	7	0.992857142857	1.0
WGD2ANC00199	6	12	0.979166666667	0.8
WGD2ANC00203	7	13	0.980769230769	1.0
WGD2ANC00210	10	18	1.0	0.969444444444
WGD2ANC00210	31	13	1.0	1.0
WGD2ANC00210	63	8	0.99375	1.0
WGD2ANC00226	143	6	0.991666666667	1.0
WGD2ANC00226	238	7	0.971428571429	1.0
WGD2ANC00232	21	29	0.996551724138	1.0
WGD2ANC00232	51	8	1.0	0.975
WGD2ANC00232	73	12	0.9875	1.0
WGD2ANC00237	45	14	0.985714285714	1.0
WGD2ANC00237	66	8	0.975	1.0
WGD2ANC00250	45	6	0.916666666667	1.0
WGD2ANC00254	14	8	0.925	1.0
WGD2ANC00256	2	6	0.933333333333	1.0
WGD2ANC00257	13	6	1.0	0.966666666667
WGD2ANC00262	195	9	0.983333333333	1.0
WGD2ANC00264	10	20	0.98	1.0
WGD2ANC00265	24	6	0.983333333333	1.0
WGD2ANC00282	29	6	0.991666666667	0.9
WGD2ANC00286	61	15	0.99	1.0
WGD2ANC00286	81	23	0.980434782609	1.0
WGD2ANC00287	8	8	1.0	0.95
WGD2ANC00291	32	6	1.0	0.966666666667
WGD2ANC00291	40	7	1.0	0.985714285714
WGD2ANC00302	3	12	0.983333333333	1.0
WGD2ANC00302	139	15	0.986666666667	1.0
WGD2ANC00303	10	8	0.96875	0.98125
WGD2ANC00316	12	7	1.0	0.8
WGD2ANC00316	39	7	0.992857142857	0.921428571429
WGD2ANC00320	35	32	0.9984375	0.965625
WGD2ANC00334	19	7	0.964285714286	0.928571428571
WGD2ANC00334	40	9	0.988888888889	1.0
WGD2ANC00339	13	26	0.988461538462	0.942307692308
WGD2ANC00347	41	11	0.977272727273	1.0
WGD2ANC00348	18	7	0.928571428571	1.0
WGD2ANC00355	68	10	0.99	0.99
WGD2ANC00361	2	33	0.995454545455	0.960606060606
