family	distance	size
WGD2ANC00031	69	19
WGD2ANC00031	275	16
WGD2ANC00182	36	21
WGD2ANC00182	73	10
WGD2ANC00182	102	11
WGD2ANC00182	114	9
WGD2ANC00311	156	9
WGD2ANC00387	227	7
WGD2ANC00451	10	24
WGD2ANC00488	26	11
WGD2ANC00492	11	19
WGD2ANC00505	45	10
WGD2ANC00505	62	10
WGD2ANC00530	24	12
WGD2ANC00581	92	7
WGD2ANC00630	129	9
WGD2ANC00651	2	35
WGD2ANC00656	75	16
WGD2ANC00687	2	8
WGD2ANC00726	18	10
WGD2ANC00907	40	7
WGD2ANC00928	47	8
WGD2ANC00949	45	18
WGD2ANC00958	232	8
WGD2ANC01001	6	16
WGD2ANC01066	84	23
WGD2ANC01102	17	12
WGD2ANC01294	8	8
WGD2ANC01294	17	9
WGD2ANC01412	266	8
WGD2ANC01495	98	8
WGD2ANC01530	16	18
WGD2ANC01532	72	12
WGD2ANC01563	70	24
WGD2ANC01568	32	11
WGD2ANC01574	43	8
WGD2ANC01595	498	14
WGD2ANC01669	448	7
WGD2ANC01715	35	19
WGD2ANC01761	61	8
WGD2ANC01792	27	7
WGD2ANC01916	210	11
WGD2ANC01925	7	9
WGD2ANC01925	246	7
WGD2ANC01930	9	15
WGD2ANC01993	28	24
WGD2ANC01993	59	9
WGD2ANC02135	117	8
WGD2ANC02164	13	15
WGD2ANC02226	30	12
WGD2ANC02362	68	11
WGD2ANC02383	18	46
WGD2ANC02424	221	16
WGD2ANC02466	29	13
WGD2ANC02555	40	11
WGD2ANC02555	76	7
WGD2ANC02636	98	9
WGD2ANC02697	15	18
WGD2ANC02721	43	12
WGD2ANC02833	100	11
WGD2ANC02862	20	8
WGD2ANC02942	49	21
WGD2ANC02960	4	20
WGD2ANC03003	47	7
WGD2ANC03049	45	9
WGD2ANC03059	7	8
WGD2ANC03059	22	8
WGD2ANC03088	9	7
WGD2ANC03088	25	25
WGD2ANC03088	54	34
WGD2ANC03116	6	9
WGD2ANC03129	115	8
WGD2ANC03139	133	12
WGD2ANC03145	34	7
WGD2ANC03316	12	7
WGD2ANC03407	79	8
WGD2ANC03436	11	8
WGD2ANC03453	45	11
WGD2ANC03483	45	13
WGD2ANC03603	60	12
WGD2ANC03636	22	15
WGD2ANC03636	44	7
WGD2ANC03671	22	18
WGD2ANC03671	42	10
WGD2ANC03690	337	7
WGD2ANC03694	54	15
WGD2ANC03699	32	7
WGD2ANC03869	112	7
WGD2ANC03965	124	11
WGD2ANC04128	251	7
WGD2ANC04174	50	12
WGD2ANC04187	71	8
WGD2ANC04245	50	16
WGD2ANC04264	29	10
WGD2ANC04356	35	15
WGD2ANC04473	24	22
WGD2ANC04473	65	8
WGD2ANC04473	81	13
WGD2ANC04473	98	25
WGD2ANC04473	125	7
WGD2ANC04677	57	7
WGD2ANC04783	11	10
WGD2ANC04815	62	8
WGD2ANC04917	14	12
WGD2ANC04935	12	13
WGD2ANC04946	20	7
WGD2ANC04989	2	16
WGD2ANC05162	19	7
WGD2ANC05188	43	10
WGD2ANC05188	67	10
WGD2ANC05217	67	12
WGD2ANC05243	183	8
WGD2ANC05283	10	7
WGD2ANC05287	5	28
WGD2ANC05311	36	8
WGD2ANC05446	43	7
WGD2ANC05453	5	8
WGD2ANC05453	14	7
WGD2ANC05475	93	12
WGD2ANC05510	38	10
WGD2ANC05510	169	9
WGD2ANC05562	42	11
WGD2ANC05614	15	8
WGD2ANC05614	24	10
WGD2ANC05654	8	11
WGD2ANC05655	8	22
WGD2ANC05657	8	12
WGD2ANC05674	251	11
WGD2ANC05718	149	7
WGD2ANC05721	81	7
WGD2ANC05721	138	8
