family	distance	size	phyloscore	alignscore
WGD2ANC00182	4	14	0.95	1.0
WGD2ANC00387	80	4	0.9375	1.0
WGD2ANC00451	2	12	0.995833333333	0.970833333333
WGD2ANC00581	7	5	0.96	1.0
WGD2ANC00656	42	10	0.995	0.975
WGD2ANC00958	17	4	0.9625	1.0
WGD2ANC01001	4	14	0.917857142857	1.0
WGD2ANC01102	8	8	0.91875	0.98125
WGD2ANC01530	22	5	0.96	1.0
WGD2ANC01715	6	5	1.0	0.96
WGD2ANC01761	39	4	0.9625	1.0
WGD2ANC01925	205	5	0.93	0.96
WGD2ANC01930	8	14	0.978571428571	1.0
WGD2ANC01993	20	18	0.944444444444	0.938888888889
WGD2ANC01993	47	4	0.9625	0.9125
WGD2ANC02134	29	4	0.8625	1.0
WGD2ANC02226	14	6	0.966666666667	1.0
WGD2ANC02362	67	5	0.93	0.94
WGD2ANC02424	6	9	0.983333333333	0.933333333333
WGD2ANC02555	28	5	0.98	1.0
WGD2ANC02555	60	4	0.95	1.0
WGD2ANC02697	7	12	0.975	1.0
WGD2ANC03088	2	5	0.95	0.94
WGD2ANC03088	40	18	0.991666666667	1.0
WGD2ANC03129	53	5	0.98	0.97
WGD2ANC03139	93	10	0.99	1.0
WGD2ANC03316	7	5	0.96	1.0
WGD2ANC03453	3	4	0.9625	0.95
WGD2ANC03636	28	4	0.9625	1.0
WGD2ANC03671	15	4	0.95	0.85
WGD2ANC03965	105	6	0.983333333333	0.958333333333
WGD2ANC04264	20	5	1.0	0.92
WGD2ANC04264	29	5	0.84	0.89
WGD2ANC04356	34	7	0.971428571429	0.885714285714
WGD2ANC04473	20	5	0.96	1.0
WGD2ANC04473	60	13	0.903846153846	0.95
WGD2ANC04473	101	5	0.98	0.95
WGD2ANC04815	36	4	0.975	0.975
WGD2ANC04989	4	6	0.975	1.0
WGD2ANC05162	13	5	0.92	0.96
WGD2ANC05287	28	4	0.775	1.0
WGD2ANC05363	23	4	0.9375	0.975
WGD2ANC05475	8	6	0.958333333333	1.0
WGD2ANC05510	7	5	0.94	1.0
WGD2ANC05654	4	10	0.9	0.92
WGD2ANC05657	4	11	0.95	1.0
