species	length	name
PSEX	17669	PSEXGNG34859
PSEX	17730	PSEXGNG34860
PSEX	935	PSEXGNG34852
PSEX	6492	PSEXGNG34853
PSEX	58	PSEXGNG34854
PSEX	245	PSEXGNG34855
PSEX	6606	PSEXGNG34856
PSEX	238	PSEXGNG34857
PSEX	6773	PSEXGNG34858
PSEX	2063	PSEXGNG34824
PSEX	1705	PSEXGNG34825
PSEX	13	PSEXGNG34826
PSEX	1244	PSEXGNG34827
PSEX	595	PSEXGNG34828
PSEX	2165	PSEXGNG34829
PSEX	85	PSEXGNG34830
PSEX	227	PSEXGNG34831
PSEX	379	PSEXGNG34832
PSEX	84	PSEXGNG34833
PSEX	714	PSEXGNG34834
PSEX	205	PSEXGNG34835
PSEX	12	PSEXGNG34836
PSEX	1731	PSEXGNG34837
PSEX	178	PSEXGNG34838
PSEX	2398	PSEXGNG34839
PSEX	572	PSEXGNG34840
PSEX	283	PSEXGNG34841
PSEX	908	PSEXGNG34842
PSEX	1221	PSEXGNG34843
PSEX	250	PSEXGNG34844
PSEX	28	PSEXGNG34845
PSEX	100	PSEXGNG34846
PSEX	526	PSEXGNG34847
PSEX	112	PSEXGNG34848
PSEX	147	PSEXGNG34849
PSEX	460	PSEXGNG34850
PSEX	140	PSEXGNG34851
PSEX	668	PSEXGNG34803
PSEX	6743	PSEXGNG34804
PSEX	200	PSEXGNG34805
PSEX	12	PSEXGNG34806
PSEX	544	PSEXGNG34807
PSEX	763	PSEXGNG34808
PSEX	26	PSEXGNG34809
PSEX	429	PSEXGNG34810
PSEX	407	PSEXGNG34811
PSEX	18	PSEXGNG34812
PSEX	17	PSEXGNG34813
PSEX	54	PSEXGNG34814
PSEX	413	PSEXGNG34815
PSEX	49	PSEXGNG34816
PSEX	187	PSEXGNG34817
PSEX	452	PSEXGNG34818
PSEX	72	PSEXGNG34819
PSEX	57	PSEXGNG34820
PSEX	783	PSEXGNG34821
PSEX	14	PSEXGNG34822
PSEX	258	PSEXGNG34823
PSEX	8653	PSEXGNG34789
PSEX	7851	PSEXGNG34790
PSEX	7811	PSEXGNG34791
PSEX	8082	PSEXGNG34792
PSEX	3451	PSEXGNG34793
PSEX	851	PSEXGNG34794
PSEX	916	PSEXGNG34795
PSEX	946	PSEXGNG34796
PSEX	482	PSEXGNG34797
PSEX	739	PSEXGNG34798
PSEX	548	PSEXGNG34799
PSEX	286	PSEXGNG34800
PSEX	360	PSEXGNG34801
PSEX	57	PSEXGNG34802
PSEX	52	PSEXGNG27582
PSEX	423	PSEXGNG27583
PSEX	1406	PSEXGNG27584
PSEX	1341	PSEXGNG27585
PSEX	60	PSEXGNG27586
PSEX	766	PSEXGNG27587
PSEX	35	PSEXGNG27588
PSEX	63	PSEXGNG27589
PSEX	578	PSEXGNG27590
PSEX	35	PSEXGNG27591
PSEX	52	PSEXGNG27592
PSEX	1158	PSEXGNG27593
PSEX	188	PSEXGNG27594
PSEX	357	PSEXGNG27595
PSEX	116	PSEXGNG27596
PSEX	92	PSEXGNG27597
PSEX	43	PSEXGNG27598
PSEX	77	PSEXGNG27599
PSEX	46	PSEXGNG27600
PSEX	1278	PSEXGNG27601
PSEX	45	PSEXGNG27602
PSEX	42	PSEXGNG27603
PSEX	163	PSEXGNG27604
PSEX	106	PSEXGNG27605
PSEX	139	PSEXGNG27606
PSEX	69	PSEXGNG27607
PSEX	546	PSEXGNG27608
PSEX	982	PSEXGNG27609
PSEX	184	PSEXGNG27610
PSEX	34	PSEXGNG27611
PSEX	509	PSEXGNG27612
PSEX	41	PSEXGNG27613
PSEX	21	PSEXGNG27614
PSEX	52	PSEXGNG27615
PSEX	725	PSEXGNG27616
PSEX	11	PSEXGNG27617
PSEX	409	PSEXGNG27618
PSEX	382	PSEXGNG27619
PSEX	439	PSEXGNG27620
PSEX	891	PSEXGNG27621
PSEX	21	PSEXGNG27622
PSEX	216	PSEXGNG27623
PSEX	196	PSEXGNG27624
PSEX	105	PSEXGNG27625
PSEX	287	PSEXGNG27626
PSEX	268	PSEXGNG27627
PSEX	803	PSEXGNG27628
PSEX	157	PSEXGNG27629
PSEX	1094	PSEXGNG27630
PSEX	340	PSEXGNG27631
PSEX	1215	PSEXGNG27632
PSEX	391	PSEXGNG27633
PSEX	13	PSEXGNG27634
PSEX	846	PSEXGNG27635
PSEX	43	PSEXGNG27636
PSEX	449	PSEXGNG27637
PSEX	40	PSEXGNG27638
PSEX	1371	PSEXGNG27639
