family	distance	size	phyloscore	alignscore
WGD2ANC00031	69	19	0.613157894737	0.584210526316
WGD2ANC00031	275	16	0.590625	0.846875
WGD2ANC00182	36	21	0.842857142857	0.966666666667
WGD2ANC00182	73	10	0.51	0.73
WGD2ANC00182	102	11	0.622727272727	0.590909090909
WGD2ANC00182	114	9	0.838888888889	1.0
WGD2ANC00311	156	9	0.472222222222	0.772222222222
WGD2ANC00387	227	7	0.7	1.0
WGD2ANC00451	10	24	0.877083333333	0.747916666667
WGD2ANC00488	26	11	0.477272727273	1.0
WGD2ANC00492	11	19	0.75	0.707894736842
WGD2ANC00505	45	10	0.705	0.995
WGD2ANC00505	62	10	0.735	0.635
WGD2ANC00530	24	12	0.820833333333	0.595833333333
WGD2ANC00581	92	7	0.835714285714	0.992857142857
WGD2ANC00630	129	9	0.605555555556	0.938888888889
WGD2ANC00651	2	35	0.818571428571	0.734285714286
WGD2ANC00656	75	16	0.925	0.953125
WGD2ANC00687	2	8	0.3625	0.75
WGD2ANC00726	18	10	0.635	1.0
WGD2ANC00907	40	7	0.735714285714	0.885714285714
WGD2ANC00928	47	8	0.63125	0.9625
WGD2ANC00949	45	18	0.425	0.452777777778
WGD2ANC00958	232	8	0.83125	0.91875
WGD2ANC01001	6	16	0.89375	1.0
WGD2ANC01066	84	23	0.719565217391	0.710869565217
WGD2ANC01102	17	12	0.8625	0.854166666667
WGD2ANC01294	8	8	0.625	0.44375
WGD2ANC01294	17	9	0.833333333333	0.744444444444
WGD2ANC01412	266	8	0.84375	0.50625
WGD2ANC01495	98	8	0.66875	1.0
WGD2ANC01530	16	18	0.819444444444	0.819444444444
WGD2ANC01532	72	12	0.504166666667	0.570833333333
WGD2ANC01563	70	24	0.520833333333	0.541666666667
WGD2ANC01568	32	11	0.318181818182	0.777272727273
WGD2ANC01574	43	8	0.43125	0.3375
WGD2ANC01595	498	14	0.65	0.8
WGD2ANC01669	448	7	0.6	0.957142857143
WGD2ANC01715	35	19	0.836842105263	0.971052631579
WGD2ANC01761	61	8	0.625	0.94375
WGD2ANC01792	27	7	0.414285714286	0.285714285714
WGD2ANC01916	210	11	0.677272727273	0.904545454545
WGD2ANC01925	7	9	0.511111111111	0.772222222222
WGD2ANC01925	246	7	0.807142857143	0.964285714286
WGD2ANC01930	9	15	0.913333333333	1.0
WGD2ANC01993	28	24	0.891666666667	0.954166666667
WGD2ANC01993	59	9	0.733333333333	0.888888888889
WGD2ANC02135	117	8	0.6375	0.96875
WGD2ANC02164	13	15	0.853333333333	0.793333333333
WGD2ANC02226	30	12	0.8375	0.970833333333
WGD2ANC02362	68	11	0.813636363636	0.95
WGD2ANC02383	18	46	0.782608695652	0.427173913043
WGD2ANC02424	221	16	0.875	0.8
WGD2ANC02466	29	13	0.919230769231	0.538461538462
WGD2ANC02555	40	11	0.786363636364	0.990909090909
WGD2ANC02555	76	7	0.821428571429	0.985714285714
WGD2ANC02636	98	9	0.638888888889	1.0
WGD2ANC02697	15	18	0.855555555556	0.952777777778
WGD2ANC02721	43	12	0.833333333333	0.333333333333
WGD2ANC02833	100	11	0.75	0.363636363636
WGD2ANC02862	20	8	0.78125	0.69375
WGD2ANC02942	49	21	0.792857142857	0.547619047619
WGD2ANC02960	4	20	0.9325	0.665
WGD2ANC03003	47	7	0.585714285714	0.578571428571
WGD2ANC03049	45	9	0.55	0.366666666667
WGD2ANC03059	7	8	0.44375	0.25
WGD2ANC03059	22	8	0.625	0.15
WGD2ANC03088	9	7	0.814285714286	0.85
WGD2ANC03088	25	25	0.868	0.806
WGD2ANC03088	54	34	0.833823529412	1.0
WGD2ANC03116	6	9	0.644444444444	0.394444444444
WGD2ANC03129	115	8	0.8625	0.9375
WGD2ANC03139	133	12	0.933333333333	1.0
WGD2ANC03145	34	7	0.778571428571	0.721428571429
WGD2ANC03316	12	7	0.828571428571	0.971428571429
WGD2ANC03407	79	8	0.43125	0.925
