family	distance	size	phyloscore	alignscore
WGD2ANC00008	61	7	0.964285714286	0.992857142857
WGD2ANC00012	9	6	1.0	1.0
WGD2ANC00014	1	9	1.0	1.0
WGD2ANC00029	2	13	1.0	1.0
WGD2ANC00029	93	6	1.0	1.0
WGD2ANC00041	4	9	1.0	1.0
WGD2ANC00043	22	6	0.983333333333	1.0
WGD2ANC00047	27	7	0.985714285714	1.0
WGD2ANC00051	192	8	0.9375	1.0
WGD2ANC00051	211	8	0.8125	1.0
WGD2ANC00055	23	7	1.0	0.992857142857
WGD2ANC00066	5	10	0.95	1.0
WGD2ANC00070	10	6	0.9	1.0
WGD2ANC00075	13	7	1.0	1.0
WGD2ANC00082	12	7	1.0	1.0
WGD2ANC00087	108	7	1.0	1.0
WGD2ANC00087	129	53	1.0	1.0
WGD2ANC00093	4	7	1.0	1.0
WGD2ANC00093	27	9	1.0	1.0
WGD2ANC00094	179	23	1.0	1.0
WGD2ANC00097	23	9	1.0	1.0
WGD2ANC00097	189	7	1.0	1.0
WGD2ANC00097	243	6	1.0	1.0
WGD2ANC00121	7	15	1.0	1.0
WGD2ANC00123	5	22	1.0	1.0
WGD2ANC00123	237	9	1.0	1.0
WGD2ANC00130	1	8	1.0	1.0
WGD2ANC00132	33	9	1.0	1.0
WGD2ANC00132	43	6	1.0	1.0
WGD2ANC00132	54	25	1.0	1.0
WGD2ANC00150	3	12	1.0	1.0
WGD2ANC00157	4	11	1.0	1.0
WGD2ANC00157	17	23	1.0	1.0
WGD2ANC00161	3	11	1.0	1.0
WGD2ANC00169	1	7	1.0	1.0
WGD2ANC00169	11	18	1.0	1.0
WGD2ANC00169	196	6	1.0	1.0
WGD2ANC00182	11	6	1.0	1.0
WGD2ANC00193	19	6	1.0	0.991666666667
WGD2ANC00199	10	6	1.0	1.0
WGD2ANC00203	7	13	1.0	1.0
WGD2ANC00232	40	12	1.0	1.0
WGD2ANC00238	2	14	1.0	1.0
WGD2ANC00238	81	8	1.0	1.0
WGD2ANC00255	7	9	1.0	1.0
WGD2ANC00262	22	7	1.0	1.0
WGD2ANC00264	148	8	1.0	1.0
WGD2ANC00264	173	10	1.0	1.0
WGD2ANC00265	70	6	0.941666666667	1.0
WGD2ANC00265	81	13	0.980769230769	1.0
WGD2ANC00268	8	12	1.0	1.0
WGD2ANC00300	1	6	1.0	1.0
WGD2ANC00302	44	6	1.0	1.0
WGD2ANC00302	59	9	1.0	1.0
WGD2ANC00306	6	6	0.925	0.933333333333
WGD2ANC00309	181	6	1.0	1.0
WGD2ANC00320	30	8	1.0	1.0
WGD2ANC00320	58	19	1.0	1.0
WGD2ANC00323	64	6	1.0	1.0
WGD2ANC00324	135	6	1.0	1.0
WGD2ANC00339	184	10	1.0	1.0
WGD2ANC00341	6	13	1.0	1.0
WGD2ANC00345	214	8	1.0	1.0
WGD2ANC00346	14	9	1.0	1.0
WGD2ANC00361	1	28	1.0	1.0
WGD2ANC00365	158	9	0.888888888889	0.911111111111
WGD2ANC00365	175	6	0.966666666667	0.95
WGD2ANC00370	2	27	1.0	1.0
WGD2ANC00379	2	15	1.0	1.0
WGD2ANC00382	34	9	1.0	1.0
WGD2ANC00386	5	35	1.0	1.0
WGD2ANC00387	6	20	1.0	1.0
WGD2ANC00396	3	8	1.0	1.0
WGD2ANC00396	16	11	1.0	1.0
WGD2ANC00407	1	18	1.0	1.0
WGD2ANC00407	19	11	1.0	1.0
WGD2ANC00411	12	12	1.0	1.0
WGD2ANC00416	25	11	1.0	1.0
WGD2ANC00422	2	10	0.955	1.0
WGD2ANC00442	184	14	1.0	1.0
WGD2ANC00442	203	13	1.0	1.0
WGD2ANC00444	20	6	1.0	1.0
WGD2ANC00448	3	9	1.0	1.0
WGD2ANC00449	10	12	1.0	1.0
WGD2ANC00449	24	9	1.0	1.0
WGD2ANC00451	3	11	1.0	1.0
WGD2ANC00468	4	39	1.0	1.0
WGD2ANC00482	227	6	1.0	1.0
WGD2ANC00492	1	11	1.0	1.0
WGD2ANC00496	2	7	1.0	1.0
WGD2ANC00511	11	14	1.0	1.0
WGD2ANC00513	3	12	1.0	1.0
WGD2ANC00519	55	7	1.0	1.0
WGD2ANC00530	10	7	1.0	1.0
WGD2ANC00566	8	11	1.0	1.0
WGD2ANC00582	12	7	1.0	1.0
WGD2ANC00589	14	9	0.888888888889	1.0
WGD2ANC00595	9	6	1.0	1.0
WGD2ANC00599	5	12	0.95	0.975
WGD2ANC00604	71	16	1.0	1.0
WGD2ANC00604	90	8	1.0	1.0
WGD2ANC00629	5	31	1.0	1.0
WGD2ANC00629	62	8	1.0	1.0
WGD2ANC00650	10	21	1.0	1.0
WGD2ANC00654	12	6	1.0	1.0
WGD2ANC00680	232	13	1.0	1.0
WGD2ANC00708	1	32	1.0	1.0
WGD2ANC00708	40	7	1.0	1.0
WGD2ANC00718	23	23	1.0	1.0
WGD2ANC00726	3	8	1.0	1.0
WGD2ANC00730	1	15	1.0	1.0
WGD2ANC00736	8	6	1.0	1.0
WGD2ANC00752	1	8	1.0	1.0
WGD2ANC00752	73	17	1.0	1.0
WGD2ANC00752	219	10	1.0	1.0
WGD2ANC00765	106	18	1.0	1.0
WGD2ANC00770	2	12	1.0	1.0
WGD2ANC00777	1	29	1.0	1.0
WGD2ANC00777	31	7	1.0	1.0
WGD2ANC00787	2	9	0.888888888889	0.888888888889
WGD2ANC00791	12	8	1.0	1.0
WGD2ANC00807	3	7	1.0	1.0
WGD2ANC00807	17	7	1.0	1.0
WGD2ANC00823	138	38	1.0	1.0
WGD2ANC00827	5	11	1.0	1.0
WGD2ANC00837	116	6	1.0	1.0
WGD2ANC00837	127	16	1.0	1.0
WGD2ANC00837	155	8	1.0	1.0
WGD2ANC00837	207	17	1.0	1.0
WGD2ANC00856	59	9	0.977777777778	0.883333333333
WGD2ANC00892	2	29	1.0	1.0
WGD2ANC00898	6	11	1.0	1.0
WGD2ANC00900	2	7	1.0	1.0
WGD2ANC00910	89	7	1.0	1.0
WGD2ANC00917	113	8	1.0	1.0
WGD2ANC00917	219	13	1.0	1.0
WGD2ANC00918	188	14	1.0	1.0
WGD2ANC00921	7	9	1.0	1.0
WGD2ANC00921	148	6	1.0	1.0
WGD2ANC00928	3	23	1.0	1.0
WGD2ANC00928	101	6	1.0	1.0
WGD2ANC00937	3	16	1.0	1.0
WGD2ANC00937	23	40	1.0	1.0
WGD2ANC00937	101	11	1.0	1.0
WGD2ANC00943	1	74	1.0	1.0
WGD2ANC00943	76	97	1.0	1.0
WGD2ANC00943	183	11	1.0	1.0
WGD2ANC00943	198	6	1.0	1.0
WGD2ANC00943	218	12	1.0	1.0
WGD2ANC00946	138	13	1.0	1.0
WGD2ANC00946	175	12	1.0	1.0
WGD2ANC00956	12	16	0.978125	0.971875
WGD2ANC00966	1	6	1.0	1.0
WGD2ANC00973	5	9	0.905555555556	0.911111111111
WGD2ANC00979	20	7	0.957142857143	1.0
WGD2ANC00979	28	10	0.995	0.91
WGD2ANC00984	9	8	1.0	1.0
WGD2ANC00997	2	14	1.0	1.0
WGD2ANC01006	1	12	1.0	1.0
WGD2ANC01011	9	10	0.945	1.0
WGD2ANC01015	70	6	1.0	1.0
WGD2ANC01015	171	10	1.0	1.0
WGD2ANC01025	4	7	1.0	1.0
WGD2ANC01050	75	10	1.0	1.0
WGD2ANC01053	42	9	1.0	1.0
WGD2ANC01054	1	12	1.0	1.0
WGD2ANC01059	5	8	0.99375	1.0
WGD2ANC01064	2	15	0.966666666667	0.983333333333
WGD2ANC01089	186	6	1.0	1.0
WGD2ANC01091	8	8	1.0	1.0
WGD2ANC01097	1	10	1.0	1.0
WGD2ANC01115	15	6	0.925	0.966666666667
WGD2ANC01129	5	10	1.0	1.0
WGD2ANC01139	1	10	1.0	1.0
WGD2ANC01139	21	18	1.0	1.0
WGD2ANC01145	62	12	0.958333333333	1.0
WGD2ANC01145	76	14	0.971428571429	0.960714285714
WGD2ANC01152	3	7	1.0	1.0
WGD2ANC01152	12	12	1.0	1.0
WGD2ANC01171	1	11	1.0	1.0
WGD2ANC01171	52	6	1.0	1.0
WGD2ANC01189	35	7	0.928571428571	0.992857142857
WGD2ANC01189	43	8	0.98125	1.0
WGD2ANC01203	6	21	1.0	1.0
WGD2ANC01203	36	12	1.0	1.0
WGD2ANC01203	60	12	1.0	0.916666666667
WGD2ANC01203	77	8	1.0	1.0
WGD2ANC01206	5	10	1.0	1.0
WGD2ANC01208	51	15	0.993333333333	0.896666666667
WGD2ANC01208	81	8	0.99375	1.0
WGD2ANC01224	16	7	1.0	1.0
WGD2ANC01229	19	13	0.969230769231	1.0
WGD2ANC01231	59	11	1.0	1.0
WGD2ANC01239	1	7	0.992857142857	0.992857142857
WGD2ANC01246	24	12	0.9875	0.895833333333
WGD2ANC01250	5	11	1.0	1.0
WGD2ANC01271	151	14	1.0	1.0
WGD2ANC01290	1	12	1.0	1.0
WGD2ANC01291	6	28	1.0	1.0
WGD2ANC01305	13	8	1.0	1.0
WGD2ANC01309	37	17	1.0	1.0
WGD2ANC01312	144	6	1.0	1.0
WGD2ANC01329	3	46	1.0	1.0
WGD2ANC01329	52	21	1.0	1.0
WGD2ANC01329	86	24	1.0	1.0
WGD2ANC01329	141	8	1.0	1.0
WGD2ANC01329	170	7	1.0	1.0
WGD2ANC01330	161	86	1.0	1.0
WGD2ANC01335	3	15	1.0	1.0
WGD2ANC01337	34	7	0.985714285714	1.0
WGD2ANC01368	15	8	0.975	0.99375
WGD2ANC01376	3	22	1.0	1.0
WGD2ANC01385	2	7	1.0	1.0
WGD2ANC01392	166	6	0.975	1.0
WGD2ANC01402	4	42	1.0	1.0
WGD2ANC01402	74	10	1.0	1.0
WGD2ANC01424	11	6	0.975	1.0
WGD2ANC01443	4	11	1.0	1.0
WGD2ANC01446	22	15	0.976666666667	1.0
WGD2ANC01450	2	13	1.0	1.0
WGD2ANC01450	28	8	1.0	1.0
WGD2ANC01450	90	6	1.0	1.0
WGD2ANC01450	99	8	1.0	1.0
WGD2ANC01450	111	15	1.0	1.0
WGD2ANC01450	175	9	1.0	1.0
WGD2ANC01463	88	6	1.0	1.0
WGD2ANC01469	6	6	1.0	1.0
WGD2ANC01474	48	22	1.0	1.0
WGD2ANC01474	71	7	1.0	1.0
WGD2ANC01474	95	11	1.0	1.0
WGD2ANC01474	116	9	1.0	1.0
WGD2ANC01474	205	10	1.0	1.0
WGD2ANC01474	220	17	1.0	1.0
WGD2ANC01487	73	8	1.0	1.0
WGD2ANC01491	2	9	1.0	0.888888888889
WGD2ANC01491	27	15	1.0	1.0
WGD2ANC01504	7	11	1.0	1.0
WGD2ANC01516	22	6	0.966666666667	1.0
WGD2ANC01523	6	7	1.0	1.0
WGD2ANC01529	17	10	1.0	1.0
WGD2ANC01529	74	9	1.0	1.0
WGD2ANC01530	9	11	1.0	1.0
WGD2ANC01533	7	6	1.0	1.0
WGD2ANC01556	19	11	1.0	1.0
WGD2ANC01575	2	14	1.0	1.0
WGD2ANC01576	1	15	1.0	1.0
WGD2ANC01576	217	13	1.0	1.0
WGD2ANC01577	13	7	1.0	1.0
WGD2ANC01577	218	15	1.0	1.0
WGD2ANC01582	12	9	1.0	1.0
WGD2ANC01586	171	6	1.0	1.0
WGD2ANC01592	230	8	0.99375	0.93125
WGD2ANC01604	2	9	1.0	1.0
WGD2ANC01624	7	10	1.0	1.0
WGD2ANC01626	79	8	1.0	1.0
WGD2ANC01627	159	13	1.0	1.0
WGD2ANC01628	1	13	1.0	1.0
WGD2ANC01628	15	17	1.0	1.0
WGD2ANC01628	92	8	1.0	1.0
WGD2ANC01641	4	9	1.0	1.0
WGD2ANC01643	1	29	1.0	1.0
WGD2ANC01647	2	17	1.0	1.0
